group,cer,wer,accuracy
degraded,0.6501642510004304,0.7785416294177244,28.564705979092253
dense_text,0.4080351989873357,0.5748755325778525,50.85446342174058
handwritten,0.6107016107016107,0.9814814814814815,20.39084539084539
printed,0.45240902794327503,0.6304354078398271,45.85777821084489
receipts,0.6342866560843619,0.7752644639837335,29.522443996595232
scene_text,0.7333333333333334,0.8333333333333334,21.666666666666668
